366,35019,35384
367,35153,35519
368,35269,35636
369,31521,31889
370,34606,34975
371,33439,33809
372,34447,34818
373,35787,36159
374,35102,35475
375,33771,34145
376,37568,37943
377,36046,36422
378,36273,36650
379,35683,36061
380,38156,38535
381,35776,36156
382,34997,35378
383,34684,35066
384,35194,35577
385,37639,38023
386,37790,38175
387,37670,38056
388,35643,36030
389,36913,37301
390,39557,39946
391,36966,37356
392,38214,38605
393,37830,38222
394,40526,40919
395,37024,37418
396,39757,40152
397,38738,39134
398,40008,40405
399,40277,40675
400,40044,40443
401,38098,38498
402,39213,39614
403,38659,39061
404,41934,42337
405,39211,39615
406,42322,42727
407,42575,42981
408,41150,41557
409,41899,42307
410,40611,41020
411,41896,42306
412,41602,42013
413,44032,44444
414,44396,44809
415,42220,42634
416,44654,45069
417,43766,44182
418,43797,44214
419,44117,44535
420,43628,44047
421,46114,46534
422,46602,47023
423,43609,44031
424,44218,44641
425,46413,46837
426,43673,44098
427,47448,47874
428,47390,47817
429,47031,47459
430,43856,44285
431,44840,45270
432,43242,43673
433,48241,48673
434,47175,47608
435,45795,46229
436,46975,47410
437,48999,49435
438,48885,49322
439,48299,48737
440,49767,50206
441,52117,52557
442,49340,49781
443,48465,48907
444,51421,51864
445,47746,48190
446,48630,49075
447,49700,50146
448,48154,48601
449,50174,50622
450,49991,50440
451,49927,50377
452,50264,50715
453,52209,52661
454,51726,52179
455,48844,49298
456,54072,54527
457,51686,52142
458,49566,50023
459,50498,50956
460,53102,53561
461,53206,53666
462,55213,55674
463,52778,53240
464,57127,57590
465,56136,56600
466,56588,57053
467,54825,55291
468,52709,53176
469,55099,55567
470,53212,53681
471,57138,57608
472,54326,54797
473,53569,54041
474,59032,59505
475,57650,58124
476,56429,56904
477,54635,55111
478,56491,56968
479,56187,56665
480,60078,60557
481,59091,59571
482,58868,59349
483,58547,59029
484,56850,57333
485,58927,59411
486,57393,57878
487,61724,62210
488,60734,61221
489,59942,60430
490,61765,62254
491,60526,61016
492,59355,59846
493,59246,59738
494,61619,62112
495,60465,60959
496,60691,61186
497,59993,60489
498,63500,63997
499,62104,62602
500,60499,60998
501,61868,62368
502,61961,62462
503,62744,63246
504,62688,63191
505,66025,66529
506,67943,68448
507,62223,62729
508,62702,63209
509,64482,64990
510,65499,66008
511,64564,65074
512,67078,67589
513,69227,69739
514,66001,66514
515,67412,67926
516,63666,64181
517,66649,67165
518,67359,67876
519,70475,70993
520,69826,70345
521,65525,66045
522,67052,67573
523,64424,64946
524,67257,67780
525,69177,69701
526,70639,71164
527,64181,64707
528,68539,69066
529,68043,68571
530,67626,68155
531,66844,67374
532,70795,71326
533,70723,71255
534,67495,68028
535,71086,71620
536,71515,72050
537,72027,72563
538,69316,69853
539,68995,69533
540,72354,72893
541,74234,74774
542,72481,73022
543,76958,77500
544,74412,74955
545,72344,72888
546,74694,75239
547,74819,75365
548,74665,75212
549,76012,76560
550,74556,75105
551,71564,72114
552,77561,78112
553,74833,75385
554,77791,78344
555,74911,75465
556,74404,74959
557,79548,80104
558,76857,77414
559,80633,81191
560,82774,83333
561,78615,79175
562,78408,78969
563,78912,79474
564,78782,79345
565,80719,81283
