n,(n * (n - 1)) / 2,n * n,comparison,swaps
465,107880,216225,55221,54758
466,108345,217156,53767,53303
467,108811,218089,53306,52841
468,109278,219024,55295,54829
469,109746,219961,55119,54652
470,110215,220900,57200,56732
471,110685,221841,56637,56168
472,111156,222784,56144,55674
473,111628,223729,55407,54936
474,112101,224676,56161,55689
475,112575,225625,58288,57815
476,113050,226576,58014,57540
477,113526,227529,53934,53459
478,114003,228484,55794,55318
479,114481,229441,57862,57385
480,114960,230400,55246,54768
481,115440,231361,59315,58836
482,115921,232324,61241,60761
483,116403,233289,58200,57719
484,116886,234256,58684,58202
485,117370,235225,58329,57846
486,117855,236196,59428,58944
487,118341,237169,59688,59203
488,118828,238144,60984,60498
489,119316,239121,61431,60944
490,119805,240100,57858,57370
491,120295,241081,61648,61159
492,120786,242064,61773,61283
493,121278,243049,60949,60458
494,121771,244036,59082,58590
495,122265,245025,60313,59820
496,122760,246016,59153,58659
497,123256,247009,61675,61180
498,123753,248004,60512,60016
499,124251,249001,63306,62809
500,124750,250000,60356,59858
501,125250,251001,65144,64645
502,125751,252004,64005,63505
503,126253,253009,63496,62995
504,126756,254016,60570,60068
505,127260,255025,63912,63409
506,127765,256036,63884,63380
507,128271,257049,65710,65205
508,128778,258064,66432,65926
509,129286,259081,65830,65323
510,129795,260100,63515,63007
511,130305,261121,65857,65348
512,130816,262144,65225,64715
513,131328,263169,61443,60932
514,131841,264196,66447,65935
515,132355,265225,63132,62619
516,132870,266256,67056,66542
517,133386,267289,66799,66284
518,133903,268324,64991,64475
519,134421,269361,66242,65725
520,134940,270400,71092,70574
521,135460,271441,66650,66131
522,135981,272484,66098,65578
523,136503,273529,68593,68072
524,137026,274576,63763,63241
525,137550,275625,67979,67456
526,138075,276676,65442,64918
527,138601,277729,68667,68142
528,139128,278784,72479,71953
529,139656,279841,71380,70853
530,140185,280900,67548,67020
531,140715,281961,72284,71755
532,141246,283024,72271,71741
533,141778,284089,71323,70792
534,142311,285156,71365,70833
535,142845,286225,73289,72756
536,143380,287296,73098,72564
537,143916,288369,71575,71040
538,144453,289444,70308,69772
539,144991,290521,72182,71645
540,145530,291600,72960,72422
541,146070,292681,75884,75345
542,146611,293764,73241,72701
543,147153,294849,71862,71321
544,147696,295936,71169,70627
545,148240,297025,73502,72959
546,148785,298116,73908,73364
547,149331,299209,72039,71494
548,149878,300304,75520,74974
549,150426,301401,74319,73772
550,150975,302500,75008,74460
551,151525,303601,76626,76077
552,152076,304704,73851,73301
553,152628,305809,82851,82300
554,153181,306916,75701,75149
555,153735,308025,75138,74585
556,154290,309136,76794,76240
557,154846,310249,76934,76379
558,155403,311364,74426,73870
559,155961,312481,75629,75072
560,156520,313600,79706,79148
561,157080,314721,80744,80185
562,157641,315844,78319,77759
563,158203,316969,79802,79241
564,158766,318096,78538,77976
565,159330,319225,84257,83694
566,159895,320356,80047,79483
567,160461,321489,77685,77120
568,161028,322624,79713,79147
569,161596,323761,78585,78018
570,162165,324900,79724,79156
571,162735,326041,81205,80636
572,163306,327184,83280,82710
573,163878,328329,81308,80737
574,164451,329476,86197,85625
575,165025,330625,84639,84066
576,165600,331776,81708,81134
577,166176,332929,84184,83609
578,166753,334084,84013,83437
579,167331,335241,87872,87295
580,167910,336400,84487,83909
581,168490,337561,84558,83979
582,169071,338724,86884,86304
583,169653,339889,88408,87827
584,170236,341056,87254,86672
585,170820,342225,82993,82410
586,171405,343396,88285,87701
587,171991,344569,91385,90800
588,172578,345744,87983,87397
589,173166,346921,87352,86765
