1,0,1,0,0
2,1,4,1,1
3,3,9,3,2
4,6,16,6,3
5,10,25,10,3
6,15,36,15,4
7,21,49,21,7
8,28,64,28,17
9,36,81,36,21
10,45,100,45,30
11,55,121,55,45
12,66,144,66,49
13,78,169,78,36
14,91,196,91,37
15,105,225,105,46
16,120,256,120,73
17,136,289,136,46
18,153,324,153,88
19,171,361,171,82
20,190,400,190,107
21,210,441,210,86
22,231,484,231,115
23,253,529,253,118
24,276,576,276,130
25,300,625,300,146
26,325,676,325,180
27,351,729,351,160
28,378,784,378,204
29,406,841,406,200
30,435,900,435,223
31,465,961,465,213
32,496,1024,496,236
33,528,1089,528,245
34,561,1156,561,331
35,595,1225,595,291
36,630,1296,630,248
37,666,1369,666,303
38,703,1444,703,384
39,741,1521,741,428
40,780,1600,780,346
41,820,1681,820,442
42,861,1764,861,379
43,903,1849,903,395
44,946,1936,946,574
45,990,2025,990,488
46,1035,2116,1035,499
47,1081,2209,1081,554
48,1128,2304,1128,450
49,1176,2401,1176,663
50,1225,2500,1225,573
51,1275,2601,1275,731
52,1326,2704,1326,662
53,1378,2809,1378,624
54,1431,2916,1431,824
55,1485,3025,1485,690
56,1540,3136,1540,707
57,1596,3249,1596,798
58,1653,3364,1653,835
59,1711,3481,1711,910
60,1770,3600,1770,878
61,1830,3721,1830,866
62,1891,3844,1891,879
63,1953,3969,1953,1095
64,2016,4096,2016,1138
65,2080,4225,2080,893
66,2145,4356,2145,1142
67,2211,4489,2211,994
68,2278,4624,2278,1243
69,2346,4761,2346,1286
70,2415,4900,2415,1127
71,2485,5041,2485,1265
72,2556,5184,2556,1330
73,2628,5329,2628,1322
74,2701,5476,2701,1434
75,2775,5625,2775,1392
76,2850,5776,2850,1330
77,2926,5929,2926,1626
78,3003,6084,3003,1284
79,3081,6241,3081,1458
80,3160,6400,3160,1523
81,3240,6561,3240,1536
82,3321,6724,3321,1640
83,3403,6889,3403,1680
84,3486,7056,3486,1927
85,3570,7225,3570,1805
86,3655,7396,3655,1790
87,3741,7569,3741,1711
88,3828,7744,3828,1796
89,3916,7921,3916,1755
90,4005,8100,4005,2112
91,4095,8281,4095,1735
92,4186,8464,4186,1960
93,4278,8649,4278,2073
94,4371,8836,4371,2305
95,4465,9025,4465,2302
96,4560,9216,4560,2363
97,4656,9409,4656,2282
98,4753,9604,4753,2468
99,4851,9801,4851,2201
100,4950,10000,4950,2648
101,5050,10201,5050,2815
102,5151,10404,5151,2539
103,5253,10609,5253,2701
104,5356,10816,5356,2617
105,5460,11025,5460,2854
106,5565,11236,5565,3068
107,5671,11449,5671,2770
108,5778,11664,5778,2912
109,5886,11881,5886,3215
110,5995,12100,5995,2813
111,6105,12321,6105,2870
112,6216,12544,6216,3045
113,6328,12769,6328,3335
114,6441,12996,6441,3365
115,6555,13225,6555,3202
116,6670,13456,6670,3163
117,6786,13689,6786,3418
118,6903,13924,6903,3336
119,7021,14161,7021,3738
120,7140,14400,7140,3393
121,7260,14641,7260,3747
122,7381,14884,7381,3340
123,7503,15129,7503,3524
124,7626,15376,7626,3703
125,7750,15625,7750,3952
126,7875,15876,7875,4003
127,8001,16129,8001,3737
128,8128,16384,8128,4087
129,8256,16641,8256,4174
130,8385,16900,8385,4152
131,8515,17161,8515,4276
132,8646,17424,8646,4498
133,8778,17689,8778,4159
134,8911,17956,8911,4666
135,9045,18225,9045,4487
136,9180,18496,9180,4330
137,9316,18769,9316,4714
138,9453,19044,9453,4471
139,9591,19321,9591,4552
140,9730,19600,9730,4443
141,9870,19881,9870,5000
142,10011,20164,10011,4850
143,10153,20449,10153,5663
144,10296,20736,10296,4998
145,10440,21025,10440,5499
146,10585,21316,10585,4630
147,10731,21609,10731,5493
148,10878,21904,10878,5307
149,11026,22201,11026,5859
150,11175,22500,11175,5964
151,11325,22801,11325,4844
152,11476,23104,11476,5297
153,11628,23409,11628,6274
154,11781,23716,11781,5872
155,11935,24025,11935,6042
156,12090,24336,12090,6290
157,12246,24649,12246,6173
158,12403,24964,12403,6361
159,12561,25281,12561,6448
160,12720,25600,12720,6055
161,12880,25921,12880,6582
162,13041,26244,13041,6519
163,13203,26569,13203,6540
164,13366,26896,13366,7248
165,13530,27225,13530,7055
166,13695,27556,13695,6940
167,13861,27889,13861,7431
168,14028,28224,14028,7101
169,14196,28561,14196,7182
170,14365,28900,14365,6847
171,14535,29241,14535,7923
172,14706,29584,14706,7134
173,14878,29929,14878,7482
174,15051,30276,15051,7501
175,15225,30625,15225,7516
176,15400,30976,15400,7306
177,15576,31329,15576,7972
178,15753,31684,15753,7916
179,15931,32041,15931,7734
180,16110,32400,16110,8534
181,16290,32761,16290,8351
182,16471,33124,16471,8992
183,16653,33489,16653,8693
184,16836,33856,16836,8260
185,17020,34225,17020,7835
186,17205,34596,17205,8390
187,17391,34969,17391,8494
188,17578,35344,17578,8248
189,17766,35721,17766,7809
190,17955,36100,17955,8490
191,18145,36481,18145,8486
192,18336,36864,18336,8920
193,18528,37249,18528,9170
194,18721,37636,18721,9444
195,18915,38025,18915,9453
196,19110,38416,19110,9767
197,19306,38809,19306,9449
198,19503,39204,19503,9214
199,19701,39601,19701,9467
200,19900,40000,19900,9360
201,20100,40401,20100,9414
202,20301,40804,20301,10371
203,20503,41209,20503,10203
204,20706,41616,20706,11378
205,20910,42025,20910,10915
206,21115,42436,21115,10636
207,21321,42849,21321,10261
208,21528,43264,21528,11003
209,21736,43681,21736,10173
210,21945,44100,21945,11638
211,22155,44521,22155,11772
212,22366,44944,22366,11053
213,22578,45369,22578,12091
214,22791,45796,22791,10434
215,23005,46225,23005,12337
216,23220,46656,23220,11204
217,23436,47089,23436,11953
218,23653,47524,23653,11024
219,23871,47961,23871,11428
220,24090,48400,24090,12721
221,24310,48841,24310,11740
222,24531,49284,24531,11320
223,24753,49729,24753,12156
224,24976,50176,24976,12005
225,25200,50625,25200,12233
226,25425,51076,25425,12498
227,25651,51529,25651,13191
228,25878,51984,25878,12991
229,26106,52441,26106,13618
230,26335,52900,26335,12593
231,26565,53361,26565,13768
232,26796,53824,26796,13076
233,27028,54289,27028,13449
234,27261,54756,27261,14074
235,27495,55225,27495,13604
236,27730,55696,27730,13222
237,27966,56169,27966,14360
238,28203,56644,28203,13454
239,28441,57121,28441,14158
240,28680,57600,28680,14766
241,28920,58081,28920,14737
242,29161,58564,29161,14505
243,29403,59049,29403,15237
244,29646,59536,29646,14305
245,29890,60025,29890,13555
246,30135,60516,30135,14571
247,30381,61009,30381,15092
248,30628,61504,30628,15624
249,30876,62001,30876,15948
250,31125,62500,31125,15105
251,31375,63001,31375,16127
252,31626,63504,31626,16366
253,31878,64009,31878,15750
254,32131,64516,32131,16213
255,32385,65025,32385,16190
256,32640,65536,32640,16451
257,32896,66049,32896,16541
258,33153,66564,33153,16623
259,33411,67081,33411,16639
260,33670,67600,33670,17229
261,33930,68121,33930,14513
262,34191,68644,34191,16688
263,34453,69169,34453,17436
264,34716,69696,34716,17259
265,34980,70225,34980,18241
266,35245,70756,35245,17387
